Content,Date Published,COM+,SHR,LDR,DIS,LIK,SUBL,SUBG,RETV,NEWV,AVV,UQV,APV,AVD,AVDS,VIEWS,WT,SUBG,IMP,CTR
MCAT Study 97,7/15/2024,1,0,0,0,0,0,3,0,0,0,0,1.19,0:00:53,53,220,3.2637,3,7080,2.3
MCAT Study 98,7/16/2024,3,1,83.33,1,5,0,4,0,0,0,0,1.22,0:02:01,121,345,11.69,4,8042,2.87
MCAT Study 99,7/16/2024,0,0,100,0,3,1,3,0,0,0,0,1.68,0:01:29,89,143,3.5364,2,3524,3.01
MCAT Study 100,7/17/2024,2,0,80,1,4,0,0,0,0,0,0,3.74,0:03:17,197,247,13.532,0,7296,2.34
MCAT Study 101,7/17/2024,2,1,100,0,1,0,0,0,0,0,0,1.83,0:02:09,129,118,4.2307,0,3553,2.22
MCAT Study 102,7/18/2024,0,0,0,0,0,0,0,0,0,0,0,3.86,0:03:28,208,44,2.5473,0,2656,1.24
MCAT Study 103,7/18/2024,1,0,100,0,5,0,1,0,0,0,0,1.74,0:02:13,133,174,6.445,1,5995,2.24
MCAT Study 104,7/18/2024,1,0,100,0,1,0,0,0,0,0,0,1.92,0:02:18,138,180,6.9119,0,5239,2.56
MCAT Study 105,7/18/2024,3,1,100,0,3,1,4,0,0,0,0,2.15,0:01:42,102,448,12.8026,3,6825,4.63
MCAT Study 106,7/24/2024,11,0,100,0,21,0,10,0,0,0,0,3.61,0:02:32,152,730,31.0205,10,12662,4.1
MCAT Study 107,7/25/2024,1,0,100,0,4,0,1,0,0,0,0,0.63,0:01:31,91,274,7.0014,1,6525,2.91
MCAT Study 108,7/25/2024,2,0,100,0,4,0,0,0,0,0,0,1.24,0:01:42,102,292,8.2755,0,7295,2.95
MCAT Study 109,7/26/2024,0,0,100,0,4,0,0,0,0,0,0,2.75,0:02:03,123,202,6.9445,0,6203,2.37
MCAT Study 110,7/27/2024,2,1,80,1,4,0,1,0,0,0,0,0.6,0:02:17,137,376,14.3944,1,8555,3.13
MCAT Study 111,7/29/2024,0,1,0,0,0,0,1,0,0,0,0,0.71,0:00:56,56,85,1.3312,1,3324,1.74
MCAT Study 112,7/29/2024,1,1,100,0,5,0,1,0,0,0,0,2.3,0:01:09,69,235,4.5533,1,7011,2.5
MCAT Study 113,7/29/2024,2,0,100,0,7,0,2,0,0,0,0,0.49,0:01:07,67,368,6.9165,2,8286,3.25
MCAT Study 114,7/30/2024,2,3,100,0,6,0,3,0,0,0,0,1.02,0:01:14,74,590,12.2687,3,12947,3.35
MCAT Study 115,7/31/2024,7,0,100,0,5,0,5,0,0,0,0,0.9,0:01:14,74,512,10.5721,5,12163,3.02
MCAT Study 116,8/2/2024,0,0,100,0,1,0,0,0,0,0,0,0.59,0:01:16,76,155,3.2945,0,4659,2.32
MCAT Study 117,8/2/2024,1,1,100,0,2,0,0,0,0,0,0,2.45,0:00:43,43,175,2.1358,0,3644,3.21
MCAT Study 118,8/2/2024,3,0,100,0,4,0,1,0,0,0,0,2.1,0:01:15,75,111,2.3355,1,2725,2.86
MCAT Study 119,8/2/2024,1,0,0,0,0,0,0,0,0,0,0,1.38,0:01:21,81,110,2.4846,0,2488,2.89
MCAT Study 120,8/4/2024,0,0,66.67,1,2,0,1,0,0,0,0,0.47,0:01:09,69,239,4.6029,1,5475,3.25
MCAT Study 121,8/4/2024,4,0,100,0,10,1,6,0,0,0,0,0.95,0:01:04,64,503,8.9885,5,10191,3.77
MCAT Study 122,8/5/2024,3,5,100,0,14,0,12,0,0,0,0,0.75,0:00:44,44,1746,21.6847,12,45348,2.76
MCAT Study 123,8/5/2024,4,0,87.5,3,21,0,8,0,0,0,0,0.51,0:00:47,47,2140,28.2785,8,56947,2.61
MCAT Study 124,8/5/2024,0,0,100,0,1,0,0,0,0,0,0,1.03,0:01:06,66,54,0.9936,0,2619,1.18
MCAT Study 125,8/5/2024,1,0,100,0,5,0,3,0,0,0,0,2.19,0:03:00,180,503,25.2732,3,8409,4.42
MCAT Study 126,8/6/2024,4,3,97.78,1,44,1,14,0,0,0,0,0.48,0:01:11,71,2256,44.6746,13,58291,2.82
MCAT Study 127,8/7/2024,2,3,91.89,3,34,0,20,0,0,0,0,0.73,0:01:27,87,2305,56.3284,20,51475,3.16
MCAT Study 128,8/7/2024,3,1,96.55,1,28,1,16,0,0,0,0,0.85,0:00:59,59,2115,35.1028,15,52921,3.13
MCAT Study 129,8/8/2024,0,0,100,0,1,0,0,0,0,0,0,1.59,0:02:38,158,60,2.6399,0,3253,1.29
MCAT Study 130,8/8/2024,2,1,100,0,4,0,2,0,0,0,0,0.74,0:01:23,83,459,10.6085,2,7125,4.41
